QUEST_20150317_000001	$Por favor, selecione o usuário que precisa de uma atualização de quest.
QUEST_20150323_001565	$Tá. Vou assinar para você para de me incomodar.
QUEST_20150323_001566	Estou tonto. Volte mais tarde.
QUEST_20150323_001567	Finalmente poderemos dormir em paz? Se sim, assinarei com prazer!
QUEST_20150323_001568	$Acredito que as coisas melhorarão em breve.
QUEST_20150323_001569	Acabei de assinar...
QUEST_20150323_001570	$Apresentação de Hauberk
QUEST_20150323_001571	{memo X}$Demônios sequestrados por Vakarine e aqueles expulsos do mundo demoníaco estão reunidos aqui. {nl}É um lugar onde criminosos terríveis estão nos atacando constantemente. 
QUEST_20150323_001572	{memo X}$Tudo pronto? Outro grupo chegará em breve.
QUEST_20150323_001573	$Lorde Demônio Hauberk
QUEST_20150323_001574	{memo X}$Você deve ter muitas perguntas. Pergunte, Revelador...
QUEST_20150323_001575	{memo X}$Vakarine está lutando com Valtrus da Prisão de Demônios além do portal. {nl}Ela não será capaz de resistir por muito mais tempo a não ser que alguém ajude.
QUEST_20150323_001576	{memo X}$Homens sob o comando do Barão passaram por aqui, mas não conseguiram voltar. {nl}Eu observei tudo com olhos de mago. {nl}Mesmo os gritos de Vakarine e seus Kupoles.
QUEST_20150323_001577	{memo X}$Isso depende se você tem ou não vontade de salvar a Deusa. {nl}Podemos reservar um tempo para falar nisso. 
QUEST_20150323_001578	{memo X}$Os membros de Nuaele foram decepados. {nl}Agora vá encontrar Aldona. {nl}Ela levará você e Hauberk até o território de Nuaele.
QUEST_20150323_001579	$Vamos entrar no território de Nuaele agora. {nl}Prepare-se.
QUEST_20150323_001580	{memo X}$Uma vez que Nuaele se vá, poderemos lutar contra os demônios facilmente, mesmo que só com os Kupoles. 
QUEST_20150323_001581	{memo X}$Nosso maior problema, além da brecha de corrupção, era Nuaele. {nl}Agora podemos focar no primeiro. {nl}Vá ao Distrito da Prisão 3. A Deusa aguarda o seu apoio.
QUEST_20150323_001582	$Não baixe sua guarda. {nl}Esse pode ser o segredo para a última chave, mas os demônios ainda estão assistindo.
QUEST_20150323_001583	$Você entrará em um quarto especial assim que obtiver as cinco chaves de Maven. {nl}Lá, você terá de completar um teste para ver se pode receber a revelação.
QUEST_20150323_001584	$O número de velas é importante. Mas para esse segredo, você deve se lembrar da ordem das velas também. {nl}É parecido com o primeiro segredo.
QUEST_20150323_001585	O dispositivo está operante.
QUEST_20150323_001586	{memo X}$Uns poucos fazendeiros maníacos atacaram o povo. 
QUEST_20150323_001587	{memo X}Guardas estão trabalhando duro para proteger a fazenda. {nl}Ajude-os. 
QUEST_20150323_001588	{memo X}$Agradeço novamente, em nome do destino. {nl}Daqui em diante, seguirei as estrelas para encontrar a Deusa Ausrine.
QUEST_20150323_001589	$Graças a você, o lacre da Terra Agrícola de Uskis agora está estável. {nl}Entretanto, muitos outros Reveladores perderam sua consciência para a energia maligna na Floresta da Luz Primaveril.
QUEST_20150323_001590	$Essa Grande Catedral gloriosa foi construída 660 anos atrás, sob a liderança do Arcebispo Silvestro Maven.
QUEST_20150323_001591	$Ainda consigo ouvir. {nl}As preces dos sacerdotes cobrindo o reino. {nl}A marcha infinita dos peregrinos, vindo em busca da graça da deusa.
QUEST_20150323_001592	$Era assim, até quatro anos atrás. {nl}Antes da maldição envolver a Grande Catedral no Medzio Diena...
QUEST_20150323_001593	Candelabro
QUEST_20150323_001594	Nenhum candelabro está aceso. 
QUEST_20150323_001595	$Eu enterrei Dallas. {nl}Sua morte me dói tanto.
QUEST_20150323_001596	$Mais monstros! Corra!
QUEST_20150323_001597	{memo X}$Você estava correndo tanto por mim. {nl}Que tal me dar a chave, pivete? 
QUEST_20150323_001598	$A brecha na corrupção, uma vez aberta, continuará a se expandir. {nl}Revelador, por favor, ajude Vakarine assim que possível. 
QUEST_20150323_001599	{memo X}Parece haver alguma reação na plataforma de benevolência. 
QUEST_20150323_001600	Bispo Ilam
QUEST_20150323_001601	{memo X}$Bispo Aurelius, que foi ordenado quando era jovem, logo ficou doente e faleceu.
QUEST_20150323_001602	{memo X}$Seu último pedido era que a Missão Divina de Maven fosse completada mesmo depois de sua morte e a Igreja aceitou.
QUEST_20150323_001603	Natureza da Maldição
QUEST_20150323_001604	$Gula, Ira, Preguiça etc. {nl}A natureza de todas as maldições que afetam a humanidade é obsessão. {nl}É como se os espíritos dos mortos ficassem para trás e não fossem até a deusa. 
QUEST_20150323_001605	$A diferença é que é a vontade dos mortos que segura o espírito para trás {nl}enquanto maldições são forçadas por terceiros sobre você.
QUEST_20150323_001606	$Naturalmente, sacerdotes aprendendo os ensinamentos da deusa não podem usar isso, exceto para experimentos.
QUEST_20150323_001607	Minha Missão 1
QUEST_20150323_001608	$Mesmo que o Revelador obtenha a revelação em sua mãos, {nl}será inútil se não puder ser protegida.
QUEST_20150323_001609	$O propósito do meu segredo é não apenas proteger a revelação do mal, mas também evitar a ganância de Reveladores fracos.
QUEST_20150323_001610	$Que você perambule na névoa eterna do desconhecido se de forma descuidada se aproximar sem descobrir minhas intenções.
QUEST_20150323_001611	Minha Missão 2
QUEST_20150323_001612	$Aqueles que desafiarem a Missão Sagrada não apenas tentarão gentilmente desvendar o segredo. {nl}Por causa disso, tive de planejar muitos segredos e tomar medidas contra tais ações bárbaras.
QUEST_20150323_001613	$Para obedecer meu segredo. {nl}Essa é a única maneira de adquirir o legado da deusa.
QUEST_20150323_001614	$Placa Comemorando a Conclusão da Catedral
QUEST_20150323_001615	$A deusa dessa terra construirá uma igreja. {nl}As forças do mal jamais invadirão esse santuário. {nl} - Fundada no ano 434, Silvestro Maven
QUEST_20150323_001616	$Nota que Alguém Deixou Para Trás
QUEST_20150323_001617	$O campanário mais alto da igreja também cairá durante Medzio Diena. {nl}A dor e pesar da marcha de evacuação eram indescritíveis.
QUEST_20150323_001618	$No dia em que rezamos à deusa dizendo que retornaríamos, todos verteram lágrima de ultraje. {nl}Nossa igreja jamais sucumbirá à maldição maligna.
QUEST_20150323_001619	$(Há muitos livros deixados na estante. Qual vamos ler?)
QUEST_20150323_001620	Livro Empoeirado
QUEST_20150323_001621	$(Há um livro empoeirado com uma nota na cadeira. Qual vamos ler?)
QUEST_20150323_001622	$Era muito perigoso há um tempo atrás. {nl}Se você tivesse chegado um pouco depois, jamais teríamos visto a terceira chave.
QUEST_20150323_001623	$Se você usar o símbolo dos espíritos, poderá ver a área onde os espíritos serão absorvidos. {nl}Derrote os demônios lá e sua força maligna será absorvida no símbolo.
QUEST_20150323_001624	$Uma vez que o Símbolo do Poder Espiritual esteja carregado, vá ao Altar Veinika. {nl}Insira o símbolo no altar Veinika e você receberá a terceira chave de Maven.
QUEST_20150323_001625	{memo X}$O remédio deve funcionar.
QUEST_20150323_001626	$A chave está no Altar Gaule. {nl}Acho que você devia vazar toda essa informação aos subordinados de Naktis.
QUEST_20150323_001627	$É claro, você precisará usar o pergaminho de transformação antes de fazê-lo. 
QUEST_20150323_001628	$O segredo supostamente é revelado ao aplicar uma força sagrada, {nl}mas a armadilha será ativada independente de detectar uma força maligna.
QUEST_20150323_001629	$O plano é obter a chave depois de exaurir essa armadilha usando os subordinados de Naktis.
QUEST_20150323_001630	$Os subordinados de Naktis serão punidos por se intrometerem no segredo de Maven. {nl}Use essa oportunidade para obter a chave.
QUEST_20150323_001631	$Mesmo que a deusa me condene por isso... manterei minha cabeça levantada,{nl} pois foi para a proteção da revelação.
QUEST_20150323_001632	$Você encontrou a última chave?
QUEST_20150323_001633	$Esse santuário é um baú do tesouro de conhecimento. {nl}Você precisa dominar os fundamentos de tudo para proteger o reino,{nl}e a revelação em nome da deusa. 
QUEST_20150323_001634	$Estudar os demônios não é exceção.
QUEST_20150323_001635	$A monarca da maldição, Naktis... {nl}Ela ainda não se revelou, mas tenho certeza de que está em algum lugar dentro do santuário.
QUEST_20150323_001636	$Talvez ela esteja esperando por nós para pegar todas as chaves.
QUEST_20150323_001637	$Estou honrado por ser capaz de guiar você até a sala oculta.
QUEST_20150323_001638	$Concentre-se na cor dos orbes. {nl}Você deveria inserir a chave nos orbes da mesma cor.
QUEST_20150323_001639	$É claro, é impossível apertar ambas as placas de pressão sozinho. {nl}Você pode usar os pedaços de madeira que os demônios espalharam por aí... ou pedir ajuda aos colegas. 
QUEST_20150323_001640	{memo X}Coincidentemente, ouvi um testemunho de um refugiado dessa área. {nl}Ele implorou pela segurança de sua família enquanto eu estava sendo enviado para cá... {nl}Mas não consigo ver qualquer membro da família Greene, apenas refugiados e monstros. 
QUEST_20150323_001641	{memo X}$E eu encontrei essa semente misteriosa. {nl}Ao contrário das outras, sinto uma força misteriosa vindo delas. {nl}Não consigo identificar essa força detalhadamente... {nl}Mas tenho certeza de que pode purificar o mal.
QUEST_20150323_001642	{memo X}$Saberíamos com mais certeza se o Mestre estivesse aqui. {nl}De qualquer forma, precisamos testar se essa semente tem o poder de purificar. {nl}Conduzirei um simples ritual de purificação. {nl}Me traga algumas Folhas de Ellom para compreender a poluição nessa área. 
QUEST_20150323_001643	{memo X}Agora, vamos começar. {nl}Por favor, assistam juntos. 
QUEST_20150323_001644	{memo X}$Mas ele é um druida que conquistou tanto quanto eu. {nl}Eu acho que ele pode descobrir qual é o segredo da semente.
QUEST_20150323_001645	{memo X}Além disso, você pode sentir algo diferente se tiver esse graveto. {nl}Se isso acontecer, avise-o também.
QUEST_20150323_001646	{memo X}Por favor, encontre meu colega na Fazenda de Shaton.
QUEST_20150323_001647	{memo X}$Os dentes de leão não são lindos? {nl}Entretanto, eles realizam um desserviço para mim ao sugar os nutrientes do chão. {nl}Se isso continuar, não teremos uma safra de trigo na próxima temporada. {nl}Por favor, remova os dentes de leão da fazenda. 
QUEST_20150323_001648	{memo X}Hein?
QUEST_20150323_001649	{memo X}Hein?
QUEST_20150323_001650	{memo X}Hein?
QUEST_20150323_001651	{memo X}Hein? 
QUEST_20150323_001652	{memo X}$Estamos lutando duro. {nl}Os ferimentos dos meus homens são muito mais urgentes que os dos fazendeiros, não concorda? {nl}Mas alguns druidas ofereceram remédios apenas para os fazendeiros, e depois os esconderam. {nl}Não tenho palavras...
QUEST_20150323_001653	{memo X}$É simples. Eu cuidarei primeiro dos meus homens. {nl}Traga-me os remédios que eles esconderam. Não deve ser difícil de encontrar. {nl}Provavelmente, em alguma caixa de madeira ou carroça de uva, talvez em uma casa vazia... Algum lugar lá fora
QUEST_20150323_001654	{memo X}Mas tome cuidado. {nl}Se essa tigela se encher de água, o feitiço exalará uma força especial. {nl}Então, os monstros atraídos por aquela força podem atacar. 
QUEST_20150323_001655	$Foi um sucesso. {nl}Você sabia que essas sementes são do mesmo tipo que as sementes misteriosas? {nl}Parece que uma grande parte da terra pode ser purificada se isso crescer o suficiente.
QUEST_20150323_001656	$Plantar isso usará pedaços da fazenda cultivada, entretanto. {nl}O dono da fazenda na área da reserva, Shaton, {nl}chegou aqui a tempo, eu devia tentar persuadi-lo enquanto ainda posso.
QUEST_20150323_001657	$Vou encontrar você na área da reserva. 
QUEST_20150323_001658	{memo X}Soldado Mike
QUEST_20150323_001659	{memo X}$Meus pais faleceram no Medzio Diena por causa deles. {nl}Me alistei como soldado para vingar meus pais. {nl}Mas... é uma vergonha. Nem posso olhar para eles. {nl}Por favor, faça-me um favor e mate-os para mim!
QUEST_20150323_001660	{memo X}$Eles pularão quando você se aproximar do arbusto, e mais aparecerão se você chacoalhá-lo. {nl}Você é parcialmente responsável por isso, então deveria ajudar.
QUEST_20150323_001661	{memo X}Havia um jovem casal que costumava trabalhar aqui. Eles eram muito diligentes. {nl}Todos aqui não trabalhavam duro porque eles odiavam Shaton, mas eram diferentes. 
QUEST_20150323_001662	{memo X}$Mas Shaton os explorou e abusou deles. {nl}Eles acabaram morrendo por trabalhar demais. Tenho algumas de suas lembranças... {nl}Prometi enterrá-las perto do túmulo, mas perdi a sacola onde as guardava durante o caos de Medzio Diena. {nl}Se você encontrar uma sacola velha, por favor, verifique se tem um anel dentro dela. 
QUEST_20150323_001663	{memo X}$Bom. Essa poção me custou uma fortuna no Mercado Negro de Fedimian. {nl}Foi de um elementalista que parecia confiável, ao contrário daqueles druidas. {nl}De acordo com ele, essa poção contém a essência da alquimia. 
QUEST_20150323_001664	{memo X}$Ele disse que se eu derramar isso no chão, um monstro poderoso e obediente aparecerá. {nl}Usarei isso para acabar com todos os monstros na minha fazenda!
QUEST_20150323_001665	{memo X}$Bem, cometi alguns erros aqui e ali, mas quem nunca fez isso? {nl}Digo, olhe essas uvas. Como você consegue usar água sem vinho misturado como água de beber? {nl}Mesmo que o mundo esteja acabando, não dá para beber água pura. Isso é barbárie! {nl}Hmm! De qualquer forma, aprecio sua ajuda. Escutarei sua história.
QUEST_20150323_001666	{memo X}$Só estou ouvindo! Não vou fazer o que você disse! {nl}Não acho que vá crescer trigo aqui, não importa que magia você use. {nl}Preciso procurar pelo corpo do meu filho, então é melhor ser breve!
QUEST_20150323_001667	{memo X}$Essa garota errante que os fazendeiros mencionaram parece suspeita. {nl}Elly concorda comigo também. {nl}Observando os fatos e suas ações, não podemos achar que ela seja só uma garota ordinária. {nl}As pessoas da família Shaton não vão fazer nada quanto a isso? 
QUEST_20150323_001668	{memo X}$E Medzio Diena veio alguns anos depois. {nl}Minha família mal conseguiu escapar com vida, e isso foi o que aconteceu com a fazenda. {nl}Isso não é tudo. {nl}Dizem que um desastre azul virá depois do grande desastre.
QUEST_20150323_001669	{memo X}$Pense nisso, pode ter sido um aviso sobre aquelas uvas envenenadas. {nl}A verdadeira bênção da deusa virá depois que o desastre azul passar. Não sei o que isso significa. {nl}Eu queria falar mais com ela, mas papai a expulsou, dizendo que sentiu um mau agouro. {nl}Para onde ela poderia ter ido agora...
QUEST_20150323_001670	{memo X}$Agradeço muito. {nl}Talvez tenhamos conquistado um pouco da confiança do mestre. {nl}Se sim, então é tudo graças a você. {nl}Boa sorte...
QUEST_20150323_001671	{memo X}$Eu ouvi dizer que as coisas foram bem na Fazenda Shaton. {nl}Isso é um alívio. Conversarei com o mestre sobre a purificação de larga escala, e como garantir seu sucesso.
QUEST_20150323_001672	{memo X}$Obrigado. Isso ajudará muitas pessoas a se recuperarem.
QUEST_20150323_001673	{memo X}É uma tarefa de se livrar dos Lauzinutes pela extensão do túnel subterrâneo. {nl}O filho do dono desapareceu no túnel subterrâneo faz muito tempo. É assustador e não quero ir lá nunca. 
QUEST_20150323_001674	{memo X}$Bom. Meu homens precisam defender essa área. {nl}Foi avistado na área superior. Marcarei o mapa para você. {nl}É possível que você tenha de atravessar alguns túneis subterrâneos. 
QUEST_20150323_001675	Túnel Subterrâneo
QUEST_20150323_001676	(Parece que não consigo ir no sentido oposto.)
QUEST_20150323_001677	$O Desfiladeiro Vieta não é uma obra-prima da deusa ou uma maravilha da natureza? {nl}A escadaria de calcário na parte sul está brilhando com água da nascente e é linda.
QUEST_20150323_001678	{memo X}$Você não deveria confiar em ninguém aqui. Nem na deusa, nem em você.
QUEST_20150323_001679	{memo X}$Hauberk, a Deusa não tem nenhuma intenção de lutar contra você. {nl}Pare com sua hostilidade.
QUEST_20150323_001680	$Valtrus...
QUEST_20150323_001681	Volte para lá!
QUEST_20150323_001682	{memo X}$Prepare-se para fazer a Chave da Estrela Vespertina. {nl}Rápido, não temos muito tempo. Enviarei o Revelador em breve.
QUEST_20150323_001683	{memo X}$Não deixarei minha alma ser enganada por você novamente!
QUEST_20150323_001684	{memo X}O que é isso...? {nl}O que você está tentando fazer com a minha alma!?
QUEST_20150323_001685	{memo X}$O Desfiladeiro Srautas está cheio de forças malignas, e os demônios começaram a atacar. {nl}Seguidores guardas e Paladinos estão defendendo contra eles, mas precisam desesperadamente da sua ajuda.
QUEST_20150323_001686	{memo X}$Coisas estranhas estão acontecendo na Ravina Vheja. {nl}Todos os habitantes desapareceram, e monstros tomaram os lugares deles.
QUEST_20150323_001687	{memo X}$Monstros entraram na Estrada Stele e estão bloqueando o caminho. {nl}Todas as cidades e vilas ficarão isoladas se não conseguirmos nos livrar dos monstros.
QUEST_20150323_001688	{memo X}$Precisamos de apoio para chegar da Cordilheira Dvaisa até o Portão do Grande Rei. {nl}Por favor, nos ajude.
QUEST_20150323_001689	$O Apostador de Klaipeda
QUEST_20150323_001691	$Investigue a Vila dos Mineradores
QUEST_20150323_001692	$Desastre do Campo Saknis
QUEST_20150323_001693	$Floresta Vilna: O Propósito dos Monstros
QUEST_20150323_001694	$Altar da Floresta Vilna
QUEST_20150323_001695	$Ameaça na Floresta Poslinkis
QUEST_20150323_001696	$Estoque de Comida da Estrada do Demônio Faminto
QUEST_20150323_001697	Para os Peregrinos
QUEST_20150323_001698	A Verdadeira Natureza da Maldição
QUEST_20150323_001699	$Trabalho no Aterro
QUEST_20150323_001700	$Vida Dura
QUEST_20150323_001701	Preciso de Tônico
QUEST_20150323_001702	$Quero Comer Comida Normal
QUEST_20150323_001703	$Passando Adiante
QUEST_20150323_001704	$Limpando a Aura Estranha
QUEST_20150323_001705	$Reposição de Energia
QUEST_20150323_001706	Evidência Positiva
QUEST_20150323_001707	Suprimento de Arma
QUEST_20150323_001708	Reserva de Comida
QUEST_20150323_001709	$Desintegração
QUEST_20150323_001710	$Monstros Descontrolados
QUEST_20150323_001711	$Adaga Suspeita
QUEST_20150323_001712	$Monstros se Aproveitando dos Suprimentos Militares
QUEST_20150323_001713	$A Fazenda de Louise
QUEST_20150323_001714	$Grãos Insatisfatórios
QUEST_20150323_001715	$Sementes Velhas
QUEST_20150323_001716	{memo X}$Teimosia de Shaton
QUEST_20150401_001717	Estátua da Estrela
QUEST_20150401_001718	{memo X}Nada está acontecendo...
QUEST_20150401_001719	$Altar de Supressão
QUEST_20150401_001720	{memo X}$O altar já está ativado.
QUEST_20150401_001721	{memo X}$O candelabro já está aceso.
QUEST_20150401_001722	{memo X}$Você precisará de algo para acendê-lo...
QUEST_20150401_001723	Pedra da Estrela
QUEST_20150401_001724	{memo X}Está reagindo levemente a algo...
QUEST_20150401_001725	{memo X}$Falta algo para ativar no altar.
QUEST_20150401_001726	{memo X}$Você sente uma grande energia vindo do altar.
QUEST_20150401_001727	$Checagem de Objeto da Zona
QUEST_20150401_001728	{memo X}$Você sente uma força desconhecida.
QUEST_20150401_001729	{memo X}Nada aconteceu...
QUEST_20150401_001730	{memo X}$Os monstros se enfraquecem enquanto a sombra assustadora desaparece.
QUEST_20150401_001731	Lâmpada de Estrela
QUEST_20150401_001732	{memo X}$Parece que não pode absorver mais.
QUEST_20150401_001733	{memo X}$Você sente como se estivesse sendo sugado para dentro da luz...
QUEST_20150401_001734	{memo X}$Eu lembro de ter escondido um pouco na grama para comer depois. {nl}Traga isso para mim. 
QUEST_20150401_001735	Está estragado. {nl}Leve isso novamente.
QUEST_20150401_001736	$Ah, aquele fedor. Jogue fora primeiro, e volte em seguida.
QUEST_20150401_001737	{memo X}$Ugh. Como você consegue comer aquilo? Você deveria trazer o fresco.
QUEST_20150401_001738	{memo X}O círculo mágico de lacre deve ser aprimorado para suprimir a força estranha ao redor dessa área.
QUEST_20150401_001739	{memo X}$Devo me unir para fazer o que é correto.
QUEST_20150401_001740	{memo X}Acabei de dar isso faz um tempo...
QUEST_20150401_001741	$Ele parece tonto. O remédio está funcionando?
QUEST_20150401_001742	$Parece que a fome se foi.
QUEST_20150401_001743	$Você deve ter várias perguntas agora. Pergunte, Revelador...
QUEST_20150401_001744	$Vakarine está lutando com Valtrus da Prisão de Demônios além do portal. {nl}Ela não será capaz de resistir por muito mais tempo a não ser que alguém ajude.
QUEST_20150401_001745	{memo X}$Homens sob o comando do Barão passaram por aqui, mas não conseguiram voltar. {nl}Eu observei tudo com olhos de mago. {nl}Mesmo os gritos de Vakarine e seus Kupoles.
QUEST_20150401_001746	{memo X}$Isso depende se você tem ou não a vontade de salvar a Deusa. {nl}Podemos reservar um tempo para falar nisso. 
QUEST_20150401_001747	{memo X}$Ouvi dizer que os demônios que cruzaram a brecha da corrupção estão reunidos na Capela Ausros. {nl}Te desejo sorte, em nome da Deusa. 
QUEST_20150401_001748	Taxa de Construção do Mausoléu Real
QUEST_20150401_001749	{memo X}Aqueles que mantiveram a honra do Rei Zachariel e seus descendentes construíram o túmulo do Rei aqui. 
QUEST_20150401_001750	{memo X}[Há inscrições sobre o local secreto]
QUEST_20150401_001751	{memo X}[Detalhes de Grite o nome do Rei!]
QUEST_20150401_001752	{memo X}[Detalhes de Grite o nome da Deusa Ausrine!]
QUEST_20150401_001753	{memo X}[Detalhes de Grite o nome da Deusa Zemyna!]
QUEST_20150401_001754	{memo X}[Detalhes de Grite o nome da Deusa Vakarine!]
QUEST_20150401_001755	{memo X}[Detalhes de Grite o nome da Deusa Laima!]
QUEST_20150401_001756	{memo X}[Detalhes de Grite o nome da Deusa Gabija!]
QUEST_20150401_001757	Aqueles que realmente compreendem as palavras serão iluminados. {nl}Se você algum dia se perder, grite o nome dele e encontrará seu caminho.
QUEST_20150401_001758	{memo X}Você escuta sussurros na sua cabeça. 
QUEST_20150401_001759	Cristal Desconhecido.
QUEST_20150401_001760	Força aprisionada do feitiço foi liberada.
QUEST_20150401_001761	O cristal está vazio porque o lacre foi liberado.
QUEST_20150401_001762	Lacrando o feitiço.
QUEST_20150401_001763	$O feitiço poderoso pode ser suprimido usando um fragmento do Cristal de Supressão de Feitiço. 
QUEST_20150401_001764	Lorde Demônio Naktis
QUEST_20150401_001765	$Você esteve andando muito pelas minhas terras. {nl}Desculpe, pivete, mas meu nome faz necessária uma maldição.
QUEST_20150401_001766	{memo X}O que é isso...? {nl}O que você está fazendo com a minha alma?!
QUEST_20150401_001768	Reconstrução de Bênçãos
QUEST_20150406_001769	{memo X}$Você também acha, hein? {nl}Por favor, obtenha um pouco de couro. Você pode obter isso dos monstros. 
QUEST_20150406_001770	$Então me dê 1.000 moedas de prata. Estou numa situação difícil aqui.
QUEST_20150406_001771	$Sinto muito, mas espero que você compreenda.
QUEST_20150406_001772	Então não tenho nenhum negócio a conduzir com você
QUEST_20150406_001773	Você é pior do que eu.
QUEST_20150406_001774	$Até mais patético do que eu... Leve isso.
QUEST_20150406_001775	O que é? 
QUEST_20150406_001776	$Mas você é um novo rosto. {nl}Você tem algo para provar que é colega de Horacius?
QUEST_20150406_001777	Mas é claro! Aqui está.
QUEST_20150406_001778	$Não posso simplesmente entregar minhas preciosas ferramentas agrícolas para alguém tão suspeito!
QUEST_20150406_001779	Hein? Por que deveria confiar em você? 
QUEST_20150406_001780	{memo X}$Você é bastante persistente. Aqui.
QUEST_20150406_001781	Horacius está bem mesmo?
QUEST_20150406_001782	Eu não sei quem você é, mas estou muito ocupado.
QUEST_20150406_001783	O que acontece se isso falhar? 
QUEST_20150406_001784	Se for só isso, cooperarei. {nl}Ferramentas agrícolas serão suficientes? 
QUEST_20150406_001785	$Claro que deveria dar elas. {nl}Será bem-sucedido.
QUEST_20150406_001786	$Isso não é suficiente?
QUEST_20150406_001787	Colar de Shaton
QUEST_20150406_001788	Encontrei um colar antigo e manchado de sangue. Será que poderia ser o colar do filho de Shaton? 
QUEST_20150406_001789	$Essa máquina consegue processar fragmentos de cristal. {nl}Qual item você deseja processar? 
QUEST_20150406_001790	Bilhete
QUEST_20150406_001791	$Se você ressoar os cristais um pouco, escutará uma bela melodia.
QUEST_20150406_001792	$Atenção: Essa é uma área de deslizamento de pedras!
QUEST_20150406_001793	Máquina de Charadas
QUEST_20150406_001794	{memo X}Há círculos vermelhos, azuis e amarelos na superfície. 
QUEST_20150406_001795	{memo X}É uma corrente em reversão que desmanchou minha alma... Eu coletei minha alma com isso.
QUEST_20150406_001796	{memo X}$Parece que o plano era bloquear a brecha da corrupção com minha alma. {nl}Ainda bem que descobri antes de ser tarde demais. 
QUEST_20150406_001797	$Você realmente acha que poderia me enganar tão facilmente? {nl}Envie meus cumprimentos a Vakarine.
QUEST_20150406_001798	{memo X}Entregue-me, Revelador. {nl}A Deusa cuidará disso.
QUEST_20150406_001800	Círculo Mágico Perdido
QUEST_20150414_001801	O que você quer saber? 
QUEST_20150414_001802	Recepcionista Ramda
QUEST_20150414_001803	{memo X}$A comissão pode começar assim que todos os membros do grupo tiverem se reunido. 
QUEST_20150414_001804	{memo X}Você ainda não é elegível para receber comissões. 
QUEST_20150414_001805	{memo X}Comissão de estrela? 
QUEST_20150414_001806	$Isso mesmo. {nl}O altar se moverá novamente.
QUEST_20150414_001807	$Caixa da Família Legwyn
QUEST_20150414_001808	{memo X}Nada pode ser encontrado agora...
QUEST_20150414_001809	Dedicação de Tesla
QUEST_20150414_001810	{memo X}Eu ofereço à Estátua da Deusa da Alma minha honra e luz. 
QUEST_20150414_001811	$Ugh. Como você consegue comer aquilo? Você deveria trazer aqueles que não estragaram.
QUEST_20150414_001812	$Bom, bom. A purificação vai bem. {nl}Saudação, é bom ver você em meu território, Revelador. 
QUEST_20150414_001813	$A purificação? Ah... sim, está em progresso. {nl}Isso é tudo pelos fazendeiros, contanto que o motor funcione bem.
QUEST_20150414_001814	$Esse senhor idoso só quer uma coisa: {nl}beleza, beleza eterna...
QUEST_20150414_001815	Ah, estou me referindo ao motor e à purificação. 
QUEST_20150414_001816	$Essa máquina leva grãos demais. {nl}Você poderia dizer que foi mantida devido ao meu prestígio e moralidade.
QUEST_20150414_001817	$Você não viu a aura estranha ao redor da fazenda? {nl}Era isso que corrompia a fazenda.
QUEST_20150414_001818	$O dispositivo de feitiço é usado para suprimir a aura usando os círculos mágicos para purificar a fazenda. {nl}É tudo parte da genialidade de Rimas.
QUEST_20150414_001819	$De qualquer jeito, quando a equipe de busca vai voltar da área restrita?
QUEST_20150414_001820	$Ah, você ainda está aqui. {nl}Vá com calma e olhe ao seu redor.
QUEST_20150414_001821	$Se falharmos... o que acontecerá conosco? 
QUEST_20150414_001822	$O aluguel da fazenda se tornou um problema. As pessoas não são mais generosas. 
QUEST_20150414_001823	$Não é piada.
QUEST_20150414_001824	{memo X}$Bilhete de Alguém
QUEST_20150414_001825	{memo X}$Esse lugar é maluco. {nl}A única maneira de se livrar desse maldito Cristal da Raiz da Árvore é queimar o lugar. {nl}Tudo devia ser queimado.
QUEST_20150414_001826	$A cobiça do Barão o fez enviar seus homens para essa região. {nl}Nenhum deles voltou.
QUEST_20150414_001827	$Eu assisti a tudo pelos olhos desse mago. {nl}Mesmo os gritos de Vakarine e seus Kupoles. 
QUEST_20150414_001828	$Isso depende se você tem ou não a força de vontade de salvar a deusa. {nl}Podemos reservar um tempo para falar nisso depois. 
QUEST_20150414_001829	$Não há uma forma mais eficiente de bloquear os monstros?
QUEST_20150414_001830	$Cultivar a fazenda agora não é fácil, mas pelo menos há menos monstros do que antes.
QUEST_20150414_001831	{memo X}$Eles antes eram monstros gentis que ficaram perversos. {nl}Você já ouviu falar de algo assim? 
QUEST_20150414_001832	$Muitos amados teriam sido perdidos se não fosse por você. {nl}Por que alguém faria tal coisa?
QUEST_20150414_001833	$Estou certo de que há um monstro por trás daquela máscara. {nl}Espalhando veneno? Evoniphon? Vou me lembrar disso.
QUEST_20150414_001834	$Coisas estranhas acontecem quando você tentar cultivar uma nova fazenda. {nl}Apesar de que, hoje em dia é ainda mais estranho se nada acontece. 
QUEST_20150414_001835	$Eu não achei que faltaria mão de obra, já que estamos perto de Klaipeda. {nl}Acho que me enganei. {nl}Bem, pelo menos temos soldados suficientes para lutar contra monstros grandes.
QUEST_20150414_001836	$Vigiar a fazenda já é cansativo o suficiente. {nl}De quanto tempo os soldados precisam para explorar a Floresta Espinhosa? 
QUEST_20150414_001837	$De um ou dois monstros eu dou conta. {nl}Mas não acho que consigo lidar com uma manada inteira.
QUEST_20150414_001838	$Estou de guarda aqui. {nl}É melhor que a Floresta Oriental, já que há menos monstros,{nl}mas não é exatamente fácil.
